"","activity","subject","variable","mean"
"1","LAYING",1,"time_body_accelerometer_singnal_mean-X",0.22159824394
"2","LAYING",1,"time_body_accelerometer_singnal_mean-Y",-0.0405139534294
"3","LAYING",1,"time_body_accelerometer_singnal_mean-Z",-0.11320355358
"4","LAYING",1,"time_gravity_accelerometer_singnal_mean-X",-0.24888179828
"5","LAYING",1,"time_gravity_accelerometer_singnal_mean-Y",0.70554977346
"6","LAYING",1,"time_gravity_accelerometer_singnal_mean-Z",0.4458177198
"7","LAYING",1,"time_body_accelerometer_jerk_signal_mean-X",0.0810865342
"8","LAYING",1,"time_body_accelerometer_jerk_signal_mean-Y",0.0038382040088
"9","LAYING",1,"time_body_accelerometer_jerk_signal_mean-Z",0.010834236361
"10","LAYING",1,"time_body_gyroscope_singnal_mean-X",-0.016553093978
"11","LAYING",1,"time_body_gyroscope_singnal_mean-Y",-0.064486124088
"12","LAYING",1,"time_body_gyroscope_singnal_mean-Z",0.14868943626
"13","LAYING",1,"time_body_gyroscope_jerk_signal_mean-X",-0.107270949192
"14","LAYING",1,"time_body_gyroscope_jerk_signal_mean-Y",-0.04151728689
"15","LAYING",1,"time_body_gyroscope_jerk_signal_mean-Z",-0.0740501211
"16","LAYING",1,"time_body_accelerometer_magnitude_mean",-0.8419291525
"17","LAYING",1,"time_gravity_accelerometer_magnitude_mean",-0.8419291525
"18","LAYING",1,"time_body_accelerometer_jerk_signal_magnitude_mean",-0.9543962646
"19","LAYING",1,"time_body_gyroscope_magnitude_mean",-0.874759548
"20","LAYING",1,"time_body_gyroscope_jerk_signal_magnitude_mean",-0.96346103
"21","LAYING",1,"frequency_body_accelerometer_singnal_mean-X",-0.9390990524
"22","LAYING",1,"frequency_body_accelerometer_singnal_mean-Y",-0.86706520518
"23","LAYING",1,"frequency_body_accelerometer_singnal_mean-Z",-0.8826668762
"24","LAYING",1,"frequency_body_accelerometer_jerk_signal_mean-X",-0.9570738838
"25","LAYING",1,"frequency_body_accelerometer_jerk_signal_mean-Y",-0.9224626098
"26","LAYING",1,"frequency_body_accelerometer_jerk_signal_mean-Z",-0.9480609042
"27","LAYING",1,"frequency_body_gyroscope_singnal_mean-X",-0.850249174586
"28","LAYING",1,"frequency_body_gyroscope_singnal_mean-Y",-0.9521914948
"29","LAYING",1,"frequency_body_gyroscope_singnal_mean-Z",-0.909302721
"30","LAYING",1,"frequency_body_accelerometer_magnitude_mean",-0.8617676481
"31","LAYING",1,"frequency_body_accelerometer_jerk_signal_magnitude_mean",-0.9333003608
"32","LAYING",1,"frequency_body_gyroscope_magnitude_mean",-0.8621901854
"33","LAYING",1,"frequency_body_gyroscope_jerk_signal_magnitude_mean",-0.9423669466
"34","LAYING",2,"time_body_accelerometer_singnal_mean-X",0.281373403958333
"35","LAYING",2,"time_body_accelerometer_singnal_mean-Y",-0.0181587397583333
"36","LAYING",2,"time_body_accelerometer_singnal_mean-Z",-0.107245610416667
"37","LAYING",2,"time_gravity_accelerometer_singnal_mean-X",-0.509754238125
"38","LAYING",2,"time_gravity_accelerometer_singnal_mean-Y",0.752536639375
"39","LAYING",2,"time_gravity_accelerometer_singnal_mean-Z",0.646834879583333
"40","LAYING",2,"time_body_accelerometer_jerk_signal_mean-X",0.0825972511666667
"41","LAYING",2,"time_body_accelerometer_jerk_signal_mean-Y",0.012254788451875
"42","LAYING",2,"time_body_accelerometer_jerk_signal_mean-Z",-0.00180264895625
"43","LAYING",2,"time_body_gyroscope_singnal_mean-X",-0.01847660675
"44","LAYING",2,"time_body_gyroscope_singnal_mean-Y",-0.111800824583333
"45","LAYING",2,"time_body_gyroscope_singnal_mean-Z",0.144882846104167
"46","LAYING",2,"time_body_gyroscope_jerk_signal_mean-X",-0.101974134208333
"47","LAYING",2,"time_body_gyroscope_jerk_signal_mean-Y",-0.0358590176083333
"48","LAYING",2,"time_body_gyroscope_jerk_signal_mean-Z",-0.0701783020833333
"49","LAYING",2,"time_body_accelerometer_magnitude_mean",-0.977435485208333
"50","LAYING",2,"time_gravity_accelerometer_magnitude_mean",-0.977435485208333
"51","LAYING",2,"time_body_accelerometer_jerk_signal_magnitude_mean",-0.987741696041667
"52","LAYING",2,"time_body_gyroscope_magnitude_mean",-0.950011569583333
"53","LAYING",2,"time_body_gyroscope_jerk_signal_magnitude_mean",-0.991767074166667
"54","LAYING",2,"frequency_body_accelerometer_singnal_mean-X",-0.976725059791667
"55","LAYING",2,"frequency_body_accelerometer_singnal_mean-Y",-0.979800877916667
"56","LAYING",2,"frequency_body_accelerometer_singnal_mean-Z",-0.984380981875
"57","LAYING",2,"frequency_body_accelerometer_jerk_signal_mean-X",-0.985813630833333
"58","LAYING",2,"frequency_body_accelerometer_jerk_signal_mean-Y",-0.982768250416667
"59","LAYING",2,"frequency_body_accelerometer_jerk_signal_mean-Z",-0.986197134583333
"60","LAYING",2,"frequency_body_gyroscope_singnal_mean-X",-0.9864311425
"61","LAYING",2,"frequency_body_gyroscope_singnal_mean-Y",-0.983321635416667
"62","LAYING",2,"frequency_body_gyroscope_singnal_mean-Z",-0.9626718875
"63","LAYING",2,"frequency_body_accelerometer_magnitude_mean",-0.975110196458333
"64","LAYING",2,"frequency_body_accelerometer_jerk_signal_magnitude_mean",-0.985374114791667
"65","LAYING",2,"frequency_body_gyroscope_magnitude_mean",-0.972112972708333
"66","LAYING",2,"frequency_body_gyroscope_jerk_signal_magnitude_mean",-0.990248702291667
"67","LAYING",3,"time_body_accelerometer_singnal_mean-X",0.275516852741935
"68","LAYING",3,"time_body_accelerometer_singnal_mean-Y",-0.0189556785048387
"69","LAYING",3,"time_body_accelerometer_singnal_mean-Z",-0.101300477506452
"70","LAYING",3,"time_gravity_accelerometer_singnal_mean-X",-0.241758478064516
"71","LAYING",3,"time_gravity_accelerometer_singnal_mean-Y",0.837032099677419
"72","LAYING",3,"time_gravity_accelerometer_singnal_mean-Z",0.48870318516129
"73","LAYING",3,"time_body_accelerometer_jerk_signal_mean-X",0.0769811125806452
"74","LAYING",3,"time_body_accelerometer_jerk_signal_mean-Y",0.0138041011306452
"75","LAYING",3,"time_body_accelerometer_jerk_signal_mean-Z",-0.00435625874355645
"76","LAYING",3,"time_body_gyroscope_singnal_mean-X",-0.0208170540330645
"77","LAYING",3,"time_body_gyroscope_singnal_mean-Y",-0.0718507159435484
"78","LAYING",3,"time_body_gyroscope_singnal_mean-Z",0.137999561112903
"79","LAYING",3,"time_body_gyroscope_jerk_signal_mean-X",-0.10004449883871
"80","LAYING",3,"time_body_gyroscope_jerk_signal_mean-Y",-0.0389771765322581
"81","LAYING",3,"time_body_gyroscope_jerk_signal_mean-Z",-0.06873387
"82","LAYING",3,"time_body_accelerometer_magnitude_mean",-0.972791346129032
